"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2016","AQS","245100040","1","19.8","ppb","18","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/02/2016","AQS","245100040","1","37.7","ppb","35","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/03/2016","AQS","245100040","1","32.6","ppb","30","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/04/2016","AQS","245100040","1","20.5","ppb","19","Oldtown","22","92.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/05/2016","AQS","245100040","1","35.3","ppb","33","Oldtown","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/06/2016","AQS","245100040","1","42.3","ppb","40","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/07/2016","AQS","245100040","1","41.6","ppb","39","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/08/2016","AQS","245100040","1","40.2","ppb","38","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/09/2016","AQS","245100040","1","35.5","ppb","33","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/10/2016","AQS","245100040","1","14.8","ppb","13","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/11/2016","AQS","245100040","1","28.3","ppb","26","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/12/2016","AQS","245100040","1","36.3","ppb","34","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/13/2016","AQS","245100040","1","23.8","ppb","22","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/14/2016","AQS","245100040","1","48.4","ppb","45","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/15/2016","AQS","245100040","1","58.6","ppb","55","Oldtown","20","83.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/16/2016","AQS","245100040","1","21.4","ppb","20","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/17/2016","AQS","245100040","1","22.5","ppb","21","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/18/2016","AQS","245100040","1","12.9","ppb","11","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/19/2016","AQS","245100040","1","14.6","ppb","13","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/20/2016","AQS","245100040","1","24.7","ppb","23","Oldtown","23","96.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/22/2016","AQS","245100040","1","26.3","ppb","25","Oldtown","20","83.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/23/2016","AQS","245100040","1","11.6","ppb","10","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/24/2016","AQS","245100040","1","54.5","ppb","51","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/25/2016","AQS","245100040","1","56.9","ppb","53","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/26/2016","AQS","245100040","1","68.3","ppb","66","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/27/2016","AQS","245100040","1","51.9","ppb","48","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/28/2016","AQS","245100040","1","48.8","ppb","45","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/29/2016","AQS","245100040","1","50.1","ppb","47","Oldtown","20","83.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/30/2016","AQS","245100040","1","40.7","ppb","38","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"01/31/2016","AQS","245100040","1","54.8","ppb","51","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/01/2016","AQS","245100040","1","50.6","ppb","47","Oldtown","21","88.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/02/2016","AQS","245100040","1","36.9","ppb","34","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/03/2016","AQS","245100040","1","41.3","ppb","39","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/04/2016","AQS","245100040","1","30.8","ppb","28","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/06/2016","AQS","245100040","1","35.2","ppb","33","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/07/2016","AQS","245100040","1","35.6","ppb","33","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/08/2016","AQS","245100040","1","31.8","ppb","29","Oldtown","22","92.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/09/2016","AQS","245100040","1","26.2","ppb","25","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/10/2016","AQS","245100040","1","14.3","ppb","13","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/12/2016","AQS","245100040","1","30.2","ppb","28","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/13/2016","AQS","245100040","1","22.2","ppb","21","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/14/2016","AQS","245100040","1","15.8","ppb","14","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/15/2016","AQS","245100040","1","25.5","ppb","24","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"02/16/2016","AQS","245100040","1","46.7","ppb","43","Oldtown","24","100.0000","42602","Nitrogen dioxide (NO2)","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
